연번,재해발생분류코드,재해발생분류,재해발생형태명코드,재해발생형태명
1,01,떨어짐(높이가 있는 곳에서 사람이 떨어짐),0101,상세정보부족 떨어짐
2,01,떨어짐(높이가 있는 곳에서 사람이 떨어짐),0109,기타 떨어짐
3,01,떨어짐(높이가 있는 곳에서 사람이 떨어짐),0108,운송수단 또는 기계 등 설비에서 떨어짐
4,01,떨어짐(높이가 있는 곳에서 사람이 떨어짐),0107,건물 대들보나 철골 등 기타 구조물에서 떨어짐
5,01,떨어짐(높이가 있는 곳에서 사람이 떨어짐),0106,비계 등 가설구조물에서 떨어짐
6,01,떨어짐(높이가 있는 곳에서 사람이 떨어짐),0105,지붕에서 떨어짐
7,01,떨어짐(높이가 있는 곳에서 사람이 떨어짐),0104,재료더미 및 적재물에서 떨어짐
8,01,떨어짐(높이가 있는 곳에서 사람이 떨어짐),0103,개구부 등 지면에서 떨어짐
9,01,떨어짐(높이가 있는 곳에서 사람이 떨어짐),0102,"계단, 사다리에서 떨어짐"
10,02,넘어짐(사람이 미끄러지거나 넘어짐),0201,상세정보부족 넘어짐
11,02,넘어짐(사람이 미끄러지거나 넘어짐),0202,계단에서 넘어짐
12,02,넘어짐(사람이 미끄러지거나 넘어짐),0203,바닥에서 미끄러져 넘어짐
13,02,넘어짐(사람이 미끄러지거나 넘어짐),0204,바닥의 돌출물 등에 걸려 넘어짐
14,02,넘어짐(사람이 미끄러지거나 넘어짐),0205,"운송수단, 설비에서 넘어짐"
15,02,넘어짐(사람이 미끄러지거나 넘어짐),0209,기타 넘어짐
16,03,깔림(물체의 쓰러짐이나 뒤집힘),0309,기타 깔림·뒤집힘
17,03,깔림(물체의 쓰러짐이나 뒤집힘),0303,운송수단 등 뒤집힘
18,03,깔림(물체의 쓰러짐이나 뒤집힘),0302,쓰러지는 물체에 깔림
19,03,깔림(물체의 쓰러짐이나 뒤집힘),0301,상세정보부족 깔림·뒤집힘
20,04,부딪힘(물체에 부딪힘),0401,상세정보부족 부딪힘
21,04,부딪힘(물체에 부딪힘),0402,사람에 의한 부딪힘
22,04,부딪힘(물체에 부딪힘),0403,바닥에서 구르는 물체에 부딪힘
23,04,부딪힘(물체에 부딪힘),0404,흔들리는 물체 등에 부딪힘
24,04,부딪힘(물체에 부딪힘),0405,"취급, 사용 물체에 부딪힘"
25,04,부딪힘(물체에 부딪힘),0406,차량 등과의 부딪힘
26,04,부딪힘(물체에 부딪힘),0409,기타 부딪힘
27,05,맞음(날아오거나 떨어진 물체에 맞음),0501,상세정보부족 날아옴·떨어짐
28,05,맞음(날아오거나 떨어진 물체에 맞음),0502,떨어진 물체에 맞음
29,05,맞음(날아오거나 떨어진 물체에 맞음),0503,날아온 물체에 맞음
30,05,맞음(날아오거나 떨어진 물체에 맞음),0509,기타 날아옴·떨어짐
31,06,무너짐(건축물이나 쌓여진 물체가 무너짐),0609,기타 무너짐
32,06,무너짐(건축물이나 쌓여진 물체가 무너짐),0606,절취사면 등의 무너짐
33,06,무너짐(건축물이나 쌓여진 물체가 무너짐),0605,가설구조물의 무너짐
